1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; 1.107532e-01 + i -5.321499e-02 ; -0.000000e+00 + i 0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.107532e-01 + i -5.321499e-02 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.067343e-05 + i -2.964143e-05 ; 4.019670e-02 + i -1.931382e-02 ; 4.019670e-02 + i -1.931382e-02 ; 2.060003e-02 + i -9.893643e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 8.098791e-03 + i -3.887016e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.404045e-02 + i -6.741880e-03 ; 8.245744e-03 + i -3.961936e-03 ; -0.000000e+00 + i 0.000000e+00 ; 6.569805e-03 + i -3.152366e-03 ; 2.727316e-03 + i -1.310427e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.404045e-02 + i -6.741880e-03 ; -0.000000e+00 + i 0.000000e+00 ; 8.245744e-03 + i -3.961936e-03 ; 6.569805e-03 + i -3.152366e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.727316e-03 + i -1.310427e-03 ; 9.863929e-03 + i -4.735133e-03 ; 6.235337e-03 + i -2.995970e-03 ; 6.235337e-03 + i -2.995970e-03 ; 5.382984e-03 + i -2.582119e-03 ; 2.319072e-03 + i -1.114273e-03 ; 2.319072e-03 + i -1.114273e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.601835e-03 + i 1.734926e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.466651e-03 + i 4.072390e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.999039e-03 + i 1.925776e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.023195e-02 + i 4.920587e-03 ; -2.319072e-03 + i 1.114273e-03 ; -6.218115e-04 + i 2.987693e-04 ; -2.644282e-03 + i 1.274838e-03 ; -6.235337e-03 + i 2.995970e-03 ; -2.284389e-03 + i 1.097609e-03 ; -4.871296e-03 + i 2.344885e-03 ; -2.727316e-03 + i 1.310427e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.870561e-03 + i 1.383562e-03 ; -8.245744e-03 + i 3.961936e-03 ; -0.000000e+00 + i 0.000000e+00 ; -5.445725e-03 + i 2.620888e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -4.019670e-02 + i 1.931382e-02 ; -4.019670e-02 + i 1.931382e-02 ; 7.067343e-05 + i -2.964143e-05 ; -0.000000e+00 + i 0.000000e+00 ; -1.107532e-01 + i 5.321499e-02 ; 3.700395e-02 + i -1.777544e-02 ; -1.107532e-01 + i 5.321499e-02 ; -0.000000e+00 + i 0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; 
1.404045e-02 + i -6.741880e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.245744e-03 + i -3.961936e-03 ; 3.276560e-02 + i -1.573898e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.405620e-02 + i -1.636341e-02 ; 9.863929e-03 + i -4.735133e-03 ; -6.235337e-03 + i 2.995970e-03 ; 6.235337e-03 + i -2.995970e-03 ; 1.500470e-02 + i -7.205182e-03 ; -1.947651e-02 + i 9.358123e-03 ; 1.947651e-02 + i -9.358123e-03 ; 2.060003e-02 + i -9.893643e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.081440e-02 + i -3.882560e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.404045e-02 + i -6.741880e-03 ; -8.245744e-03 + i 3.961936e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.276560e-02 + i -1.573898e-02 ; -3.405620e-02 + i 1.636341e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.107532e-01 + i 5.321499e-02 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.067343e-05 + i -2.964143e-05 ; 4.019670e-02 + i -1.931382e-02 ; -4.019670e-02 + i 1.931382e-02 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; 1.107532e-01 + i -5.321499e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -8.466651e-03 + i 4.072390e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.613603e-02 + i 1.256222e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.235337e-03 + i 2.995970e-03 ; -4.871296e-03 + i 2.344885e-03 ; -2.284389e-03 + i 1.097609e-03 ; -1.947651e-02 + i 9.358123e-03 ; -7.419664e-03 + i 3.569334e-03 ; -1.126108e-02 + i 5.410751e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.023195e-02 + i 4.920587e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.030104e-02 + i 1.936827e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.245744e-03 + i 3.961936e-03 ; -5.445725e-03 + i 2.620888e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.405620e-02 + i 1.636341e-02 ; -6.445156e-03 + i 3.101101e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -1.107532e-01 + i 5.321499e-02 ; 4.019670e-02 + i -1.931382e-02 ; 7.067343e-05 + i -2.964143e-05 ; -4.019670e-02 + i 1.931382e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i 0.000000e+00 ; 1.107532e-01 + i -5.321499e-02 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
8.245744e-03 + i -3.961936e-03 ; -0.000000e+00 + i -0.000000e+00 ; -5.445725e-03 + i 2.620888e-03 ; 3.405620e-02 + i -1.636341e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.445156e-03 + i 3.101101e-03 ; 6.235337e-03 + i -2.995970e-03 ; -2.284389e-03 + i 1.097609e-03 ; -4.871296e-03 + i 2.344885e-03 ; 1.947651e-02 + i -9.358123e-03 ; -1.126108e-02 + i 5.410751e-03 ; -7.419664e-03 + i 3.569334e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.023195e-02 + i 4.920587e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.030104e-02 + i 1.936827e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.466651e-03 + i 4.072390e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.613603e-02 + i 1.256222e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -1.107532e-01 + i 5.321499e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.107532e-01 + i 5.321499e-02 ; 3.700395e-02 + i -1.777544e-02 ; -4.019670e-02 + i 1.931382e-02 ; -4.019670e-02 + i 1.931382e-02 ; 7.067343e-05 + i -2.964143e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; 
6.569805e-03 + i -3.152366e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.727316e-03 + i -1.310427e-03 ; 1.404045e-02 + i -6.741880e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.245744e-03 + i -3.961936e-03 ; 5.382984e-03 + i -2.582119e-03 ; -2.319072e-03 + i 1.114273e-03 ; 2.319072e-03 + i -1.114273e-03 ; 9.863929e-03 + i -4.735133e-03 ; -6.235337e-03 + i 2.995970e-03 ; 6.235337e-03 + i -2.995970e-03 ; 8.098791e-03 + i -3.887016e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.060003e-02 + i -9.893643e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.569805e-03 + i -3.152366e-03 ; -2.727316e-03 + i 1.310427e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.404045e-02 + i -6.741880e-03 ; -8.245744e-03 + i 3.961936e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.107532e-01 + i -5.321499e-02 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.067343e-05 + i -2.964143e-05 ; -4.019670e-02 + i 1.931382e-02 ; 4.019670e-02 + i -1.931382e-02 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -1.107532e-01 + i 5.321499e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -3.601835e-03 + i 1.734926e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.466651e-03 + i 4.072390e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.319072e-03 + i 1.114273e-03 ; -2.644282e-03 + i 1.274838e-03 ; -6.218115e-04 + i 2.987693e-04 ; -6.235337e-03 + i 2.995970e-03 ; -4.871296e-03 + i 2.344885e-03 ; -2.284389e-03 + i 1.097609e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.999039e-03 + i 1.925776e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.023195e-02 + i 4.920587e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.727316e-03 + i 1.310427e-03 ; -2.870561e-03 + i 1.383562e-03 ; -0.000000e+00 + i 0.000000e+00 ; -8.245744e-03 + i 3.961936e-03 ; -5.445725e-03 + i 2.620888e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -4.019670e-02 + i 1.931382e-02 ; 7.067343e-05 + i -2.964143e-05 ; -4.019670e-02 + i 1.931382e-02 ; -0.000000e+00 + i 0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -1.107532e-01 + i 5.321499e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.107532e-01 + i 5.321499e-02 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i 0.000000e+00 ; 
2.727316e-03 + i -1.310427e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.870561e-03 + i 1.383562e-03 ; 8.245744e-03 + i -3.961936e-03 ; -0.000000e+00 + i -0.000000e+00 ; -5.445725e-03 + i 2.620888e-03 ; 2.319072e-03 + i -1.114273e-03 ; -6.218115e-04 + i 2.987693e-04 ; -2.644282e-03 + i 1.274838e-03 ; 6.235337e-03 + i -2.995970e-03 ; -2.284389e-03 + i 1.097609e-03 ; -4.871296e-03 + i 2.344885e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.999039e-03 + i 1.925776e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.023195e-02 + i 4.920587e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.601835e-03 + i 1.734926e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.466651e-03 + i 4.072390e-03 ; 1.107532e-01 + i -5.321499e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; 4.019670e-02 + i -1.931382e-02 ; -4.019670e-02 + i 1.931382e-02 ; 7.067343e-05 + i -2.964143e-05 ; -0.000000e+00 + i -0.000000e+00 ; -1.107532e-01 + i 5.321499e-02 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; 
9.863929e-03 + i -4.735133e-03 ; 6.235337e-03 + i -2.995970e-03 ; 6.235337e-03 + i -2.995970e-03 ; 1.500470e-02 + i -7.205182e-03 ; 1.947651e-02 + i -9.358123e-03 ; 1.947651e-02 + i -9.358123e-03 ; 1.404045e-02 + i -6.741880e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.245744e-03 + i -3.961936e-03 ; 3.276560e-02 + i -1.573898e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.405620e-02 + i -1.636341e-02 ; 1.404045e-02 + i -6.741880e-03 ; 8.245744e-03 + i -3.961936e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.276560e-02 + i -1.573898e-02 ; 3.405620e-02 + i -1.636341e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.060003e-02 + i -9.893643e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.081440e-02 + i -3.882560e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.067343e-05 + i -2.964143e-05 ; -4.019670e-02 + i 1.931382e-02 ; -4.019670e-02 + i 1.931382e-02 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.107532e-01 + i 5.321499e-02 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -1.107532e-01 + i 5.321499e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
6.235337e-03 + i -2.995970e-03 ; -4.871296e-03 + i 2.344885e-03 ; 2.284389e-03 + i -1.097609e-03 ; 1.947651e-02 + i -9.358123e-03 ; -7.419664e-03 + i 3.569334e-03 ; 1.126108e-02 + i -5.410751e-03 ; -0.000000e+00 + i -0.000000e+00 ; -8.466651e-03 + i 4.072390e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.613603e-02 + i 1.256222e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.245744e-03 + i -3.961936e-03 ; -5.445725e-03 + i 2.620888e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.405620e-02 + i -1.636341e-02 ; -6.445156e-03 + i 3.101101e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.023195e-02 + i 4.920587e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.030104e-02 + i 1.936827e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; 1.107532e-01 + i -5.321499e-02 ; -4.019670e-02 + i 1.931382e-02 ; 7.067343e-05 + i -2.964143e-05 ; 4.019670e-02 + i -1.931382e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.107532e-01 + i 5.321499e-02 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
6.235337e-03 + i -2.995970e-03 ; 2.284389e-03 + i -1.097609e-03 ; -4.871296e-03 + i 2.344885e-03 ; 1.947651e-02 + i -9.358123e-03 ; 1.126108e-02 + i -5.410751e-03 ; -7.419664e-03 + i 3.569334e-03 ; 8.245744e-03 + i -3.961936e-03 ; -0.000000e+00 + i -0.000000e+00 ; -5.445725e-03 + i 2.620888e-03 ; 3.405620e-02 + i -1.636341e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.445156e-03 + i 3.101101e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.466651e-03 + i 4.072390e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.613603e-02 + i 1.256222e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.023195e-02 + i 4.920587e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.030104e-02 + i 1.936827e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.107532e-01 + i -5.321499e-02 ; 3.700395e-02 + i -1.777544e-02 ; -4.019670e-02 + i 1.931382e-02 ; 4.019670e-02 + i -1.931382e-02 ; 7.067343e-05 + i -2.964143e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -1.107532e-01 + i 5.321499e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; 
5.382984e-03 + i -2.582119e-03 ; 2.319072e-03 + i -1.114273e-03 ; 2.319072e-03 + i -1.114273e-03 ; 9.863929e-03 + i -4.735133e-03 ; 6.235337e-03 + i -2.995970e-03 ; 6.235337e-03 + i -2.995970e-03 ; 6.569805e-03 + i -3.152366e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.727316e-03 + i -1.310427e-03 ; 1.404045e-02 + i -6.741880e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.245744e-03 + i -3.961936e-03 ; 6.569805e-03 + i -3.152366e-03 ; 2.727316e-03 + i -1.310427e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.404045e-02 + i -6.741880e-03 ; 8.245744e-03 + i -3.961936e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.098791e-03 + i -3.887016e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.060003e-02 + i -9.893643e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.067343e-05 + i -2.964143e-05 ; 4.019670e-02 + i -1.931382e-02 ; 4.019670e-02 + i -1.931382e-02 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.107532e-01 + i -5.321499e-02 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; 1.107532e-01 + i -5.321499e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
2.319072e-03 + i -1.114273e-03 ; -2.644282e-03 + i 1.274838e-03 ; 6.218115e-04 + i -2.987693e-04 ; 6.235337e-03 + i -2.995970e-03 ; -4.871296e-03 + i 2.344885e-03 ; 2.284389e-03 + i -1.097609e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.601835e-03 + i 1.734926e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.466651e-03 + i 4.072390e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.727316e-03 + i -1.310427e-03 ; -2.870561e-03 + i 1.383562e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.245744e-03 + i -3.961936e-03 ; -5.445725e-03 + i 2.620888e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.999039e-03 + i 1.925776e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.023195e-02 + i 4.920587e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.019670e-02 + i -1.931382e-02 ; 7.067343e-05 + i -2.964143e-05 ; 4.019670e-02 + i -1.931382e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.700395e-02 + i -1.777544e-02 ; 1.107532e-01 + i -5.321499e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.374925e-02 + i 3.543955e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.107532e-01 + i -5.321499e-02 ; 3.700395e-02 + i -1.777544e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.177379e-01 + i -2.007115e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.086870e-01 + i 1.002748e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.257621e-01 + i 4.200605e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
