4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; 6.375043e-02 + i -7.233415e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i 0.000000e+00 ; 6.375043e-02 + i -7.233415e-02 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.637671e-06 + i -8.291261e-06 ; 2.313485e-02 + i -2.624985e-02 ; 2.313485e-02 + i -2.624985e-02 ; 1.182882e-02 + i -1.342114e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 4.639599e-03 + i -5.263926e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 8.055788e-03 + i -9.140090e-03 ; 4.742747e-03 + i -5.381337e-03 ; -0.000000e+00 + i 0.000000e+00 ; 3.760800e-03 + i -4.266801e-03 ; 1.567500e-03 + i -1.778557e-03 ; -0.000000e+00 + i 0.000000e+00 ; 8.055788e-03 + i -9.140090e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.742747e-03 + i -5.381337e-03 ; 3.760800e-03 + i -4.266801e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.567500e-03 + i -1.778557e-03 ; 5.653946e-03 + i -6.414850e-03 ; 3.585992e-03 + i -4.068830e-03 ; 3.585992e-03 + i -4.068830e-03 ; 3.078791e-03 + i -3.492962e-03 ; 1.332710e-03 + i -1.512153e-03 ; 1.332710e-03 + i -1.512153e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.085259e-03 + i 2.366404e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.889739e-03 + i 5.548496e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.314334e-03 + i 2.626324e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.907041e-03 + i 6.702773e-03 ; -1.332710e-03 + i 1.512153e-03 ; -3.573387e-04 + i 4.054528e-04 ; -1.534268e-03 + i 1.741225e-03 ; -3.585992e-03 + i 4.068830e-03 ; -1.313770e-03 + i 1.490664e-03 ; -2.820400e-03 + i 3.200529e-03 ; -1.567500e-03 + i 1.778557e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.664966e-03 + i 1.889521e-03 ; -4.742747e-03 + i 5.381337e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.152178e-03 + i 3.576979e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -2.313485e-02 + i 2.624985e-02 ; -2.313485e-02 + i 2.624985e-02 ; 7.637671e-06 + i -8.291261e-06 ; -0.000000e+00 + i 0.000000e+00 ; -6.375043e-02 + i 7.233415e-02 ; 2.125946e-02 + i -2.412157e-02 ; -6.375043e-02 + i 7.233415e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; 
8.055788e-03 + i -9.140090e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.742747e-03 + i -5.381337e-03 ; 1.882703e-02 + i -2.136164e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.959847e-02 + i -2.223732e-02 ; 5.653946e-03 + i -6.414850e-03 ; -3.585992e-03 + i 4.068830e-03 ; 3.585992e-03 + i -4.068830e-03 ; 8.608057e-03 + i -9.766720e-03 ; -1.120692e-02 + i 1.271589e-02 ; 1.120692e-02 + i -1.271589e-02 ; 1.182882e-02 + i -1.342114e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.647896e-02 + i -5.273678e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.055788e-03 + i -9.140090e-03 ; -4.742747e-03 + i 5.381337e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.882703e-02 + i -2.136164e-02 ; -1.959847e-02 + i 2.223732e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i 0.000000e+00 ; -6.375043e-02 + i 7.233415e-02 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.637671e-06 + i -8.291261e-06 ; 2.313485e-02 + i -2.624985e-02 ; -2.313485e-02 + i 2.624985e-02 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; 6.375043e-02 + i -7.233415e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -4.889739e-03 + i 5.548496e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.506935e-02 + i 1.709874e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.585992e-03 + i 4.068830e-03 ; -2.820400e-03 + i 3.200529e-03 ; -1.313770e-03 + i 1.490664e-03 ; -1.120692e-02 + i 1.271589e-02 ; -4.295086e-03 + i 4.873775e-03 ; -6.479706e-03 + i 7.352170e-03 ; -0.000000e+00 + i -0.000000e+00 ; -5.907041e-03 + i 6.702773e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.322801e-02 + i 2.635593e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.742747e-03 + i 5.381337e-03 ; -3.152178e-03 + i 3.576979e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.959847e-02 + i 2.223732e-02 ; -3.737751e-03 + i 4.241398e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -6.375043e-02 + i 7.233415e-02 ; 2.313485e-02 + i -2.624985e-02 ; 7.637671e-06 + i -8.291261e-06 ; -2.313485e-02 + i 2.624985e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i 0.000000e+00 ; 6.375043e-02 + i -7.233415e-02 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
4.742747e-03 + i -5.381337e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.152178e-03 + i 3.576979e-03 ; 1.959847e-02 + i -2.223732e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.737751e-03 + i 4.241398e-03 ; 3.585992e-03 + i -4.068830e-03 ; -1.313770e-03 + i 1.490664e-03 ; -2.820400e-03 + i 3.200529e-03 ; 1.120692e-02 + i -1.271589e-02 ; -6.479706e-03 + i 7.352170e-03 ; -4.295086e-03 + i 4.873775e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.907041e-03 + i 6.702773e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.322801e-02 + i 2.635593e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.889739e-03 + i 5.548496e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.506935e-02 + i 1.709874e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -6.375043e-02 + i 7.233415e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.375043e-02 + i 7.233415e-02 ; 2.125946e-02 + i -2.412157e-02 ; -2.313485e-02 + i 2.624985e-02 ; -2.313485e-02 + i 2.624985e-02 ; 7.637671e-06 + i -8.291261e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; 
3.760800e-03 + i -4.266801e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.567500e-03 + i -1.778557e-03 ; 8.055788e-03 + i -9.140090e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.742747e-03 + i -5.381337e-03 ; 3.078791e-03 + i -3.492962e-03 ; -1.332710e-03 + i 1.512153e-03 ; 1.332710e-03 + i -1.512153e-03 ; 5.653946e-03 + i -6.414850e-03 ; -3.585992e-03 + i 4.068830e-03 ; 3.585992e-03 + i -4.068830e-03 ; 4.639599e-03 + i -5.263926e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.182882e-02 + i -1.342114e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.760800e-03 + i -4.266801e-03 ; -1.567500e-03 + i 1.778557e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.055788e-03 + i -9.140090e-03 ; -4.742747e-03 + i 5.381337e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.375043e-02 + i -7.233415e-02 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.637671e-06 + i -8.291261e-06 ; -2.313485e-02 + i 2.624985e-02 ; 2.313485e-02 + i -2.624985e-02 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -6.375043e-02 + i 7.233415e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -2.085259e-03 + i 2.366404e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.889739e-03 + i 5.548496e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.332710e-03 + i 1.512153e-03 ; -1.534268e-03 + i 1.741225e-03 ; -3.573387e-04 + i 4.054528e-04 ; -3.585992e-03 + i 4.068830e-03 ; -2.820400e-03 + i 3.200529e-03 ; -1.313770e-03 + i 1.490664e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.314334e-03 + i 2.626324e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.907041e-03 + i 6.702773e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.567500e-03 + i 1.778557e-03 ; -1.664966e-03 + i 1.889521e-03 ; -0.000000e+00 + i 0.000000e+00 ; -4.742747e-03 + i 5.381337e-03 ; -3.152178e-03 + i 3.576979e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.313485e-02 + i 2.624985e-02 ; 7.637671e-06 + i -8.291261e-06 ; -2.313485e-02 + i 2.624985e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -6.375043e-02 + i 7.233415e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.375043e-02 + i 7.233415e-02 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i 0.000000e+00 ; 
1.567500e-03 + i -1.778557e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.664966e-03 + i 1.889521e-03 ; 4.742747e-03 + i -5.381337e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.152178e-03 + i 3.576979e-03 ; 1.332710e-03 + i -1.512153e-03 ; -3.573387e-04 + i 4.054528e-04 ; -1.534268e-03 + i 1.741225e-03 ; 3.585992e-03 + i -4.068830e-03 ; -1.313770e-03 + i 1.490664e-03 ; -2.820400e-03 + i 3.200529e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.314334e-03 + i 2.626324e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.907041e-03 + i 6.702773e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.085259e-03 + i 2.366404e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.889739e-03 + i 5.548496e-03 ; 6.375043e-02 + i -7.233415e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; 2.313485e-02 + i -2.624985e-02 ; -2.313485e-02 + i 2.624985e-02 ; 7.637671e-06 + i -8.291261e-06 ; -0.000000e+00 + i -0.000000e+00 ; -6.375043e-02 + i 7.233415e-02 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; 
5.653946e-03 + i -6.414850e-03 ; 3.585992e-03 + i -4.068830e-03 ; 3.585992e-03 + i -4.068830e-03 ; 8.608057e-03 + i -9.766720e-03 ; 1.120692e-02 + i -1.271589e-02 ; 1.120692e-02 + i -1.271589e-02 ; 8.055788e-03 + i -9.140090e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.742747e-03 + i -5.381337e-03 ; 1.882703e-02 + i -2.136164e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.959847e-02 + i -2.223732e-02 ; 8.055788e-03 + i -9.140090e-03 ; 4.742747e-03 + i -5.381337e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.882703e-02 + i -2.136164e-02 ; 1.959847e-02 + i -2.223732e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.182882e-02 + i -1.342114e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.647896e-02 + i -5.273678e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.637671e-06 + i -8.291261e-06 ; -2.313485e-02 + i 2.624985e-02 ; -2.313485e-02 + i 2.624985e-02 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i 0.000000e+00 ; -6.375043e-02 + i 7.233415e-02 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -6.375043e-02 + i 7.233415e-02 ; -0.000000e+00 + i 0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
3.585992e-03 + i -4.068830e-03 ; -2.820400e-03 + i 3.200529e-03 ; 1.313770e-03 + i -1.490664e-03 ; 1.120692e-02 + i -1.271589e-02 ; -4.295086e-03 + i 4.873775e-03 ; 6.479706e-03 + i -7.352170e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.889739e-03 + i 5.548496e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.506935e-02 + i 1.709874e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.742747e-03 + i -5.381337e-03 ; -3.152178e-03 + i 3.576979e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.959847e-02 + i -2.223732e-02 ; -3.737751e-03 + i 4.241398e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.907041e-03 + i 6.702773e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.322801e-02 + i 2.635593e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; 6.375043e-02 + i -7.233415e-02 ; -2.313485e-02 + i 2.624985e-02 ; 7.637671e-06 + i -8.291261e-06 ; 2.313485e-02 + i -2.624985e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.375043e-02 + i 7.233415e-02 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
3.585992e-03 + i -4.068830e-03 ; 1.313770e-03 + i -1.490664e-03 ; -2.820400e-03 + i 3.200529e-03 ; 1.120692e-02 + i -1.271589e-02 ; 6.479706e-03 + i -7.352170e-03 ; -4.295086e-03 + i 4.873775e-03 ; 4.742747e-03 + i -5.381337e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.152178e-03 + i 3.576979e-03 ; 1.959847e-02 + i -2.223732e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.737751e-03 + i 4.241398e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.889739e-03 + i 5.548496e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.506935e-02 + i 1.709874e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.907041e-03 + i 6.702773e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.322801e-02 + i 2.635593e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.375043e-02 + i -7.233415e-02 ; 2.125946e-02 + i -2.412157e-02 ; -2.313485e-02 + i 2.624985e-02 ; 2.313485e-02 + i -2.624985e-02 ; 7.637671e-06 + i -8.291261e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -6.375043e-02 + i 7.233415e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; 
3.078791e-03 + i -3.492962e-03 ; 1.332710e-03 + i -1.512153e-03 ; 1.332710e-03 + i -1.512153e-03 ; 5.653946e-03 + i -6.414850e-03 ; 3.585992e-03 + i -4.068830e-03 ; 3.585992e-03 + i -4.068830e-03 ; 3.760800e-03 + i -4.266801e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.567500e-03 + i -1.778557e-03 ; 8.055788e-03 + i -9.140090e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.742747e-03 + i -5.381337e-03 ; 3.760800e-03 + i -4.266801e-03 ; 1.567500e-03 + i -1.778557e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.055788e-03 + i -9.140090e-03 ; 4.742747e-03 + i -5.381337e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.639599e-03 + i -5.263926e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.182882e-02 + i -1.342114e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.637671e-06 + i -8.291261e-06 ; 2.313485e-02 + i -2.624985e-02 ; 2.313485e-02 + i -2.624985e-02 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.375043e-02 + i -7.233415e-02 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; 6.375043e-02 + i -7.233415e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
1.332710e-03 + i -1.512153e-03 ; -1.534268e-03 + i 1.741225e-03 ; 3.573387e-04 + i -4.054528e-04 ; 3.585992e-03 + i -4.068830e-03 ; -2.820400e-03 + i 3.200529e-03 ; 1.313770e-03 + i -1.490664e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.085259e-03 + i 2.366404e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.889739e-03 + i 5.548496e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.567500e-03 + i -1.778557e-03 ; -1.664966e-03 + i 1.889521e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.742747e-03 + i -5.381337e-03 ; -3.152178e-03 + i 3.576979e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.314334e-03 + i 2.626324e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.907041e-03 + i 6.702773e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.313485e-02 + i -2.624985e-02 ; 7.637671e-06 + i -8.291261e-06 ; 2.313485e-02 + i -2.624985e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.125946e-02 + i -2.412157e-02 ; 6.375043e-02 + i -7.233415e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.249097e-02 + i 4.821257e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; 6.375043e-02 + i -7.233415e-02 ; 2.125946e-02 + i -2.412157e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.404246e-01 + i -2.727963e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.201926e-01 + i 1.363764e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.965283e-01 + i 5.712623e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
